paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.9365,0.9167,0.0,0.0346,20.0,16.67
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.7027,0.5182,0.1053,0.1716,19.0,14.67
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.9259,1.0,0.0,0.0,17.0,12.0
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.8073,0.5765,0.0693,0.1575,25.0,22.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.8788,0.7667,0.0,0.0369,20.0,15.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.6743,0.5414,0.1348,0.0573,34.0,26.67
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.6742,0.4389,0.0284,0.0,20.33,19.0
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.5421,0.3603,0.0533,0.0476,21.67,21.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.6611,0.6431,0.1018,0.1269,26.0,25.33
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.9683,0.5364,0.0284,0.0279,20.33,20.67
