paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.7477,0.6863,0.2038,0.0,28.33,21.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.4509,0.4141,0.0619,0.0892,28.0,23.33
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.3767,0.3704,0.1118,0.0833,13.67,12.0
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.4303,0.7273,0.0184,0.1386,31.33,25.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.5817,0.5054,0.1372,0.0722,33.67,24.0
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.6078,0.5789,0.0936,0.0666,37.0,26.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.5278,0.4667,0.1155,0.1332,30.0,21.67
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.4045,0.3116,0.1083,0.1269,26.67,25.33
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.3546,0.3664,0.12,0.0714,33.67,28.0
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.2378,0.3192,0.0619,0.1083,28.0,26.67
