paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.7167,0.44,0.2204,0.1764,18.33,15.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.7847,0.4116,0.0422,0.0541,13.67,10.67
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.6178,0.3644,0.0299,0.0935,19.33,16.33
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.5606,0.454,0.2153,0.3593,29.0,22.67
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.4426,0.4002,0.1111,0.1875,18.0,16.0
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.3939,0.5367,0.1506,0.0825,23.0,21.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.4762,0.3635,0.2948,0.3113,15.67,14.0
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.3187,0.5043,0.0333,0.0,17.33,15.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.7333,0.8333,0.0,0.0541,12.0,10.67
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.6649,0.5427,0.1237,0.1561,14.0,13.33
