paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,20,20,0,100.0,16,16,0,100.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,17,16,1,94.12,12,10,2,83.33
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,17,10,7,58.82,12,7,5,58.33
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,26,24,2,92.31,20,20,0,100.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,20,20,0,100.0,16,15,1,93.75
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,33,33,0,100.0,28,26,2,92.86
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,20,20,0,100.0,19,16,3,84.21
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,23,19,4,82.61,20,16,4,80.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,25,21,3,84.0,23,18,4,78.26
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,20,20,0,100.0,20,17,3,85.0
