paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,25,25,0,100.0,21,21,0,100.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,29,29,0,100.0,24,24,0,100.0
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,15,14,1,93.33,11,7,4,63.64
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,31,31,0,100.0,23,23,0,100.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,31,31,0,100.0,23,23,0,100.0
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,39,39,0,100.0,27,22,5,81.48
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,34,34,0,100.0,25,23,2,92.0
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,30,30,0,100.0,29,29,0,100.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,33,33,0,100.0,26,26,0,100.0
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,27,27,0,100.0,25,25,0,100.0
