paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,22,22,0,100.0,17,11,6,64.71
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,14,13,1,92.86,11,9,2,81.82
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,19,18,1,94.74,15,4,11,26.67
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,27,23,4,85.19,19,16,3,84.21
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,18,18,0,100.0,19,15,4,78.95
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,25,25,0,100.0,22,22,0,100.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,21,21,0,100.0,19,9,10,47.37
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,18,18,0,100.0,15,13,2,86.67
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,12,12,0,100.0,11,11,0,100.0
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,16,15,1,93.75,15,10,5,66.67
