paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,28.16,0.47,20,16,9455,734,10189
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,21.82,0.36,17,12,8281,579,8860
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,22.83,0.38,17,12,2205,595,2800
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,34.09,0.57,26,20,8214,923,9137
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,26.91,0.45,20,16,8963,728,9691
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,46.24,0.77,33,28,15188,1268,16456
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,28.85,0.48,20,19,12930,782,13712
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,31.63,0.53,23,20,8808,862,9670
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,35.71,0.6,25,23,15424,1004,16428
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,29.16,0.49,20,20,9143,799,9942
