paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,67.94,1.13,25,21,10642,9035,19677
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,54.46,0.91,29,24,9220,8720,17940
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,26.46,0.44,15,11,2398,2769,5167
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,65.18,1.09,31,23,9157,7215,16372
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,60.11,1.0,31,23,9878,6743,16621
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,66.73,1.11,39,27,16715,7538,24253
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,58.9,0.98,34,25,13399,8169,21568
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,67.04,1.12,30,29,9429,11397,20826
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,82.6,1.38,33,26,17140,8977,26117
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,61.52,1.03,27,25,10183,8643,18826
