paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,27.07,0.45,22,17,10210,1131,11341
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,17.95,0.3,14,11,8948,726,9674
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,28.74,0.48,19,15,2313,1033,3346
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,27.46,0.46,27,19,8785,1305,10090
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,25.52,0.43,18,19,9513,1100,10613
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,33.34,0.56,25,22,15947,1381,17328
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,40.52,0.68,21,19,13942,1216,15158
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,18.98,0.32,18,15,9709,971,10680
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,18.3,0.31,12,11,16526,793,17319
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,26.57,0.44,16,15,9971,937,10908
