paper,entities,relations,entity_types,relation_types
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,22,17,10,13
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,14,11,8,8
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,19,15,9,6
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,27,19,7,12
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,18,19,10,9
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,25,22,8,9
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,21,19,9,10
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,18,15,8,9
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,12,11,7,7
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,16,15,8,10
