paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.3295,0.5485,0.1403,0.1708,29.67,23.67
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.5522,0.5367,0.1691,0.1732,26.67,20.0
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.5077,0.619,0.2526,0.1206,33.67,12.67
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.4019,0.7564,0.3301,0.2835,44.0,35.33
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.6809,0.4712,0.2233,0.1898,24.67,19.0
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.7276,0.3831,0.12,0.1789,33.67,34.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.3466,0.5912,0.0628,0.2628,24.33,25.33
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.2181,0.4873,0.1639,0.126,22.0,21.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.4974,0.6071,0.179,0.1911,28.67,26.33
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.4821,0.7322,0.1816,0.2153,24.0,19.33
