paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.3685,0.4176,0.2518,0.24,41.33,25.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.6871,0.6905,0.0456,0.0,38.0,29.0
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.6237,0.8222,0.0394,0.0389,44.0,29.67
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.3301,0.3514,0.0529,0.1786,39.33,28.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.3218,0.364,0.1709,0.088,42.33,23.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.4162,0.3846,0.0271,0.0294,42.67,34.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.366,0.2706,0.2258,0.2176,31.0,22.67
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.355,0.416,0.0936,0.098,37.0,27.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.2641,0.3326,0.136,0.1428,44.33,32.33
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.178,0.3721,0.2961,0.2553,34.67,26.67
