paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.5402,0.3912,0.1127,0.1066,22.33,14.33
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.4611,0.5061,0.0845,0.1784,13.67,11.67
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.5862,0.7333,0.0,0.0,20.0,18.0
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.314,0.3229,0.2327,0.1988,23.67,20.33
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.8039,0.7185,0.0403,0.1083,14.33,10.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.2112,0.4244,0.126,0.2294,21.0,19.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.6819,0.4197,0.2205,0.3111,12.0,10.33
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.5246,0.3712,0.0394,0.0866,14.67,13.33
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.3906,0.4141,0.3248,0.3122,16.0,13.33
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.5685,0.5594,0.0468,0.1348,12.33,11.33
