paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,31,31,0,100.0,28,27,1,96.43
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,22,22,0,100.0,22,20,2,90.91
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,37,25,12,67.57,14,9,5,64.29
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,43,43,0,100.0,45,34,9,75.56
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,31,31,0,100.0,20,20,0,100.0
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,33,33,0,100.0,37,17,20,45.95
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,26,26,0,100.0,21,20,1,95.24
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,19,19,0,100.0,19,19,0,100.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,33,32,1,96.97,27,20,7,74.07
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,19,19,0,100.0,16,15,1,93.75
