paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,38,37,1,97.37,25,24,1,96.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,39,39,0,100.0,29,26,3,89.66
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,46,44,2,95.65,31,30,1,96.77
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,41,41,0,100.0,33,33,0,100.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,46,46,0,100.0,26,26,0,100.0
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,42,41,1,97.62,33,33,0,100.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,23,23,0,100.0,17,17,0,100.0
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,33,33,0,100.0,24,24,0,100.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,38,37,1,97.37,35,31,4,88.57
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,46,46,0,100.0,32,32,0,100.0
