paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,25,25,0,100.0,14,11,3,78.57
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,13,13,0,100.0,10,7,3,70.0
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,20,19,1,95.0,18,13,5,72.22
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,20,19,1,95.0,18,15,3,83.33
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,14,14,0,100.0,12,11,1,91.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,18,18,0,100.0,14,13,1,92.86
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,10,10,0,100.0,8,8,0,100.0
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,15,15,0,100.0,12,8,4,66.67
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,13,13,0,100.0,10,9,1,90.0
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,12,11,1,91.67,11,10,1,90.91
