paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,44.36,0.74,31,28,12579,1200,13779
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,32.37,0.54,22,22,11405,876,12281
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,35.63,0.59,37,14,5328,999,6327
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,62.09,1.03,43,45,11337,1732,13069
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,35.2,0.59,31,20,12086,968,13054
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,52.38,0.87,33,37,18311,1457,19768
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,35.38,0.59,26,21,16054,946,17000
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,29.61,0.49,19,19,11931,812,12743
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,44.58,0.74,33,27,18547,1237,19784
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,26.54,0.44,19,16,12267,722,12989
