paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,54.74,0.91,38,25,14106,7619,21725
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,112.38,1.87,39,29,12880,9086,21966
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,100.68,1.68,46,31,6058,6708,12766
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,121.6,2.03,41,33,12817,11779,24596
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,130.59,2.18,46,26,13538,11123,24661
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,62.16,1.04,42,33,20375,8642,29017
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,41.57,0.69,23,17,16892,5553,22445
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,83.34,1.39,33,24,13089,9249,22338
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,88.41,1.47,38,35,20800,8156,28956
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,106.8,1.78,46,32,13843,9027,22870
