paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,23.08,0.38,25,14,13594,1111,14705
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,14.11,0.24,13,10,12331,643,12974
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,23.5,0.39,20,18,5698,1240,6938
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,20.67,0.34,20,18,12169,1063,13232
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,14.69,0.24,14,12,12898,729,13627
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,20.07,0.33,18,14,19331,928,20259
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,13.58,0.23,10,8,17325,581,17906
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,19.07,0.32,15,12,13093,939,14032
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,18.25,0.3,13,10,19910,818,20728
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,17.23,0.29,12,11,13355,770,14125
