paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.753,0.5932,0.1083,0.1556,21.33,17.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.7308,0.7591,0.0284,0.0881,20.33,17.33
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.7467,0.5476,0.0422,0.0403,41.0,14.33
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.3979,0.5045,0.2412,0.3277,31.67,24.67
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.5906,0.5458,0.098,0.1249,27.0,16.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.476,0.7778,0.0,0.0833,30.0,24.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.63,0.5064,0.1816,0.2395,30.33,31.33
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.7183,0.4244,0.0294,0.0787,19.67,14.67
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.6491,0.5547,0.0664,0.1929,31.33,34.0
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.4602,0.4288,0.1507,0.1881,21.33,18.67
