paper,runs,entity_jaccard,relation_jaccard,entities_cv,relations_cv,avg_entities,avg_relations
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,3,0.438,0.3681,0.0931,0.1163,40.67,31.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,3,0.6432,0.6,0.0912,0.2321,50.67,32.33
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,3,0.4533,0.4074,0.0197,0.114,29.33,25.33
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,3,0.1148,0.1159,0.9141,0.8957,27.33,19.67
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,3,0.3333,0.3333,1.7321,1.7321,14.67,6.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,3,0.3687,0.4619,0.223,0.1587,41.67,32.33
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,3,0.3033,0.5169,0.0422,0.0595,41.0,25.67
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,3,0.4667,0.7222,0.0255,0.1506,45.33,30.67
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,3,0.3381,0.2892,0.1428,0.1547,47.67,36.0
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,3,0.4583,0.6322,0.0888,0.0201,39.0,28.67
