paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,20,20,0,100.0,16,16,0,100.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,20,20,0,100.0,19,17,2,89.47
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,39,27,12,69.23,14,6,8,42.86
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,30,29,1,96.67,20,17,3,85.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,26,26,0,100.0,15,13,2,86.67
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,30,29,1,96.67,24,21,3,87.5
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,34,30,4,88.24,39,25,14,64.1
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,19,16,3,84.21,14,14,0,100.0
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,29,28,1,96.55,41,38,3,92.68
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,20,20,0,100.0,19,19,0,100.0
