paper,entity_total,entity_correct,entity_incorrect,entity_accuracy,relation_total,relation_correct,relation_incorrect,relation_accuracy
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,19,19,0,100.0,15,12,3,80.0
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,34,33,1,97.06,23,11,12,47.83
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,22,21,1,95.45,20,17,3,85.0
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,26,26,0,100.0,20,17,2,85.0
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,20,20,0,100.0,19,11,8,57.89
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,17,17,0,100.0,15,15,0,100.0
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,14,13,1,92.86,12,11,1,91.67
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,15,15,0,100.0,17,13,4,76.47
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,12,12,0,100.0,11,6,5,54.55
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,14,14,0,100.0,14,9,5,64.29
