paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,49.53,0.83,24,20,20612,1171,21783
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,38.8,0.65,20,16,18483,896,19379
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,59.68,0.99,42,15,5927,1431,7358
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,46.17,0.77,25,20,18021,1119,19140
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,50.38,0.84,30,19,19790,1195,20985
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,55.8,0.93,30,22,31892,1369,33261
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,55.4,0.92,24,24,28189,1309,29498
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,38.2,0.64,20,14,19474,924,20398
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,62.44,1.04,33,28,32472,1562,34034
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,36.29,0.6,19,15,19836,859,20695
