paper,duration_seconds,duration_minutes,entity_count,relation_count,prompt_tokens,completion_tokens,total_tokens
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,78.58,1.31,38,32,23547,8575,32122
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,87.85,1.46,48,28,20981,9523,30504
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,52.45,0.87,29,27,6840,5695,12535
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,94.86,1.58,0,0,20451,10397,30848
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,88.73,1.48,0,0,22231,9906,32137
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,80.49,1.34,52,38,35474,11495,46969
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,90.89,1.51,39,24,29813,7697,37510
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,88.07,1.47,46,28,21312,6137,27449
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,108.32,1.81,50,37,36458,10223,46681
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,77.23,1.29,41,29,22446,8679,31125
