paper,entities,relations,entity_types,relation_types
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,45,34,12,13
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,48,28,17,19
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,30,22,7,8
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,33,25,9,14
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,57,34,16,17
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,39,31,14,13
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,42,27,15,19
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,46,28,17,17
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,40,30,15,19
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,41,29,14,20
